id,timescale,date_start,date_end,era,title,summary,people,orgs,citations,branches,branch_primary,formations,importance,image,image_credit
bartlett-1854-personal-narrative,human,1854,,early_exploration,Bartlett — Personal Narrative of Explorations (Guadalupes),"John Russell Bartlett, U.S.–Mexico Boundary Commissioner (1850–53), publishes his two-volume Personal Narrative. Approaching the western escarpment in November 1850 he describes Guadalupe Mountain as a dark, gloomy-looking range with bold and forbidding sides — among the earliest published eyewitness accounts of the west face; Bartlett Peak is later named for him.",John Russell Bartlett,United States and Mexican Boundary Commission,"Bartlett, J.R., 1854, Personal Narrative of Explorations and Incidents in Texas, New Mexico, California, Sonora, and Chihuahua, Connected with the United States and Mexican Boundary Commission, during the years 1850, '51, '52, and '53: New York, D. Appleton & Company, 2 vols., https://archive.org/details/personalnarrativ01bart",mapping,mapping,,3,1854-bartlett-cover.jpg;1854-bartlett-nov9.png;1854-bartlett-nov10.png,Bartlett 1854 Personal Narrative (Internet Archive) — Guadalupe Mountain plate and Nov. 9–10 excerpts
shumard-1858-permian-fossils,human,1858,,early_exploration,Shumard — Permian fossils from the Guadalupes,G. G. Shumard visited the Texas Guadalupes with Capt. John Pope's survey; fossils he collected were identified by B. F. Shumard as resembling Permian faunas of Europe — among the earliest geologic observations of the range.,G. G. Shumard;B. F. Shumard,,"Shumard, B.F., 1858, Notice of fossils from the Permian strata of Texas and New Mexico obtained by the United States expedition under Capt. John Pope…: Transactions of the Academy of Science of St. Louis, v. 1 (volume date often given as 1860). Context summarized in Hayes (1964, USGS PP 446, Introduction).",paleontology;mapping,paleontology,,3,,
richardson-1904-delaware-mountain,human,1904,,early_exploration,Richardson names Delaware Mountain and Capitan formations,G. B. Richardson's Trans-Pecos reconnaissance names the Delaware Mountain Formation (sandstone and limestone of the Delaware and Guadalupe Mountains) and Capitan Limestone — the parent nomenclature later split into the Delaware Mountain Group.,G. B. Richardson,University of Texas Mineral Survey,"Richardson, G.B., 1904, Report of a reconnaissance in Trans-Pecos Texas north of the Texas and Pacific Railway: University of Texas Mineral Survey Bulletin 9, 119 p. (Geolex original reference for Delaware Mountain).",mapping;stratigraphy,stratigraphy,delaware_mountain_group;capitan,3,,
girty-1908-pp58,human,1908,,early_exploration,Girty — USGS Professional Paper 58 The Guadalupian Fauna,George H. Girty's USGS Professional Paper 58 monographs fossils from Capitan and Delaware Mountain strata of the southern Guadalupe Mountains — the classic paleontologic baseline for Guadalupian faunas.,George H. Girty,USGS,"Girty, G.H., 1908, The Guadalupian Fauna: USGS Professional Paper 58, 651 p., https://doi.org/10.3133/pp58",paleontology;stratigraphy,paleontology,delaware_mountain_group;capitan,3,,
beede-1924-west-texas-map,human,1924,,early_exploration,Beede geologic map of part of West Texas,BEG syntheses credit Beede (1924) with recognizing a lithologic tripartite character in Delaware Mountain sandstone that later underpinned King's three-formation subdivision. Primary item is University of Texas Bulletin 2607.,J. W. Beede,University of Texas,"Beede, J.W., 1924, Geologic map of a part of West Texas: University of Texas Bulletin 2607. Tripartite role as summarized by BEG DMG synthesis (Dutton et al.).",mapping;stratigraphy,stratigraphy,delaware_mountain_group,2,,
king-1942-dmg-names,human,1942,,usgs_mapping,King — Brushy Cherry and Bell Canyon named,"P. B. King describes the Delaware Mountain Group and its Brushy Canyon, Cherry Canyon, and Bell Canyon Formations (names already credited to him in DeFord and Lloyd, 1940). Formal lithostratigraphic frame for the western escarpment and Delaware Basin fill.",Philip B. King,USGS;AAPG,"King, P.B., 1942, Permian of west Texas and southeastern New Mexico: AAPG Bulletin, v. 26, no. 4, p. 535–763. See also DeFord, R.K., and Lloyd, E.R., 1940, AAPG Bulletin, v. 24, p. 1–14 (names credited to King).",mapping;stratigraphy;basin_fill,stratigraphy,brushy_canyon;cherry_canyon;bell_canyon;delaware_mountain_group,3,1942-king-cover.jpg,King 1942 AAPG Bulletin Fig. 14 — west side of Guadalupe Mountains
king-1948-pp215,human,1948,,usgs_mapping,King — USGS Professional Paper 215 southern Guadalupes,"USGS Professional Paper 215 maps and describes the southern Guadalupe and adjacent Delaware Mountains Permian section, including Brushy Canyon stratigraphy and relations along the western escarpment.",Philip B. King,USGS,"King, P.B., 1948, Geology of the Southern Guadalupe Mountains, Texas: USGS Professional Paper 215, 183 p., https://doi.org/10.3133/pp215",mapping;stratigraphy;basin_fill,mapping,brushy_canyon;delaware_mountain_group;capitan,3,1948-king-pp215.png,TBD — confirm rights (likely USGS PP 215)
hayes-1964-pp446,human,1964,,usgs_mapping,Hayes — USGS Professional Paper 446 New Mexico Guadalupes,USGS Professional Paper 446 maps Guadalupe Mountains geology in New Mexico and discusses Delaware Mountain Group / Capitan shelf–reef–basin relations north of King's Texas map area.,Philip T. Hayes,USGS,"Hayes, P.T., 1964, Geology of the Guadalupe Mountains, New Mexico: USGS Professional Paper 446, 69 p., https://doi.org/10.3133/pp446",mapping;stratigraphy;reef_and_shelf,mapping,delaware_mountain_group;capitan;brushy_canyon,2,1964-hayes.png,TBD — confirm rights (likely USGS PP 446)
harms-1974-brushy-density,human,1974,,midcentury_frameworks,Harms — Brushy Canyon deep-water density-current deposit,J. C. Harms interprets the Brushy Canyon Formation as a deep-water density-current deposit (GSA Bulletin). Widely cited turning point in Brushy Canyon process models.,John C. Harms,,"Harms, J.C., 1974, Brushy Canyon Formation, Texas: A deep-water density current deposit: Geological Society of America Bulletin, v. 85, p. 1763–1784.",sedimentology;basin_fill,sedimentology,brushy_canyon,3,1974-harms-brushy-density.png,TBD — Harms 1974 figure
rossen-1985-ms-thesis,human,1985,,petroleum_surge,Rossen M.S. thesis — Brushy Canyon onlap area,Christine Rossen M.S. thesis on Brushy Canyon sedimentology in the Guadalupe Mountains onlap area (University of Wisconsin–Madison). Cited as foundational outcrop work preceding later Exxon publications.,Christine Rossen,University of Wisconsin–Madison,"Rossen, C., 1985, Sedimentology of the Brushy Canyon Formation (Permian, Early Guadalupian) in the onlap area, Guadalupe Mountains, west Texas: M.S. thesis, University of Wisconsin–Madison, 314 p.",sedimentology;basin_fill;stratigraphy,sedimentology,brushy_canyon,3,,
rossen-sarg-1987-aapg-abstract,human,1987,,petroleum_surge,Rossen and Sarg — 1987 AAPG abstract,"AAPG abstract on Brushy Canyon–Cherry Canyon Tongue sedimentology and regional correlation. Abstract favors turbidity currents over hypersaline density currents based on onlap geometry, channels, and shelfward correlation.",Christine Rossen;J. F. Sarg,,"Rossen, C., and Sarg, J.F., 1987, Sedimentology and regional correlation of a basinally restricted deep-water siliciclastic wedge: Brushy Canyon Formation–Cherry Canyon Tongue (Lower Guadalupian), Delaware Basin: AAPG Bulletin, v. 71 (abstract).",sedimentology;stratigraphy;basin_fill,sedimentology,brushy_canyon;cherry_canyon,2,,
harms-williamson-1988-dmg,human,1988,,midcentury_frameworks,Harms and Williamson — DMG saline density currents,"Harms and Williamson argue Delaware Mountain Group siltstones and channelized sandstones (including Brushy and Bell Canyon) were deposited by saline density currents in a density-stratified basin, contrasting with turbidity-current submarine-fan models.",John C. Harms;Charles R. Williamson,,"Harms, J.C., and Williamson, C.R., 1988, Deep-water density current deposits of Delaware Mountain Group (Permian), Delaware Basin, Texas and New Mexico: AAPG Bulletin, v. 72, p. 299–317.",sedimentology;basin_fill;petroleum,sedimentology,brushy_canyon;bell_canyon;delaware_mountain_group,2,1988-harms-williamson-dmg.png,TBD — Harms & Williamson 1988 figure
gardner-1992-wtgs-dmg-turbidites,human,1992,,petroleum_surge,Gardner 1992 — eolian-derived DMG turbidites,"WTGS symposium paper linking Delaware Mountain Group deep-water sandstones to eolian-derived turbidites along an arid carbonate platform, and discussing impacts on hydrocarbon recovery in DMG reservoirs (including Brushy Canyon-scale cyclicity).",Michael H. Gardner,,"Gardner, M.H., 1992, Sequence stratigraphy of eolian-derived turbidites: deep water sedimentation patterns along an arid carbonate platform and their impact on hydrocarbon recovery in Delaware Mountain Group reservoirs, west Texas, in Mruk, D.H., and Curran, B.C., eds., Permian Basin Exploration and Production Strategies: Applications of Sequence Stratigraphic and Reservoir Characterization Concepts: West Texas Geological Society, Inc. Symposium, Publication 92-91, p. 7–11.",sedimentology;stratigraphy;basin_fill;petroleum,sedimentology,brushy_canyon;delaware_mountain_group,3,,
doe-nash-draw-1995-brushy-class-iii,human,1995,,petroleum_surge,DOE Class III — Nash Draw Brushy Canyon Pool,"U.S. DOE Class III field demonstration (DE-FC22-95BC14941) at Nash Draw Pool, Eddy County, NM — integrated geology, engineering, and 3-D seismic to improve recovery from low-permeability Brushy Canyon slope–basin sandstones; later SPE papers emphasize compartmentalization and sweet-spot targeting.",F. David Martin;Mark B. Murphy;Bruce A. Stubbs;Bruce J. Uszynski;Bob A. Hardage;William W. Weiss,U.S. Department of Energy;Strata Production Company;Bureau of Economic Geology;New Mexico PRRC,"Martin, F.D., Murphy, M.B., Stubbs, B.A., Uszynski, B.J., Hardage, B.A., Kendall, R.P., Whitney, E.M., and Weiss, W.W., 1997, Reservoir characterization as a risk reduction tool at the Nash Draw Pool: SPE paper 38916 / later SPE Reservoir Evaluation & Engineering (SPE 56007-PA). DOE Cooperative Agreement DE-FC22-95BC14941.",petroleum;basin_fill;sedimentology;digital_methods,petroleum,brushy_canyon;delaware_mountain_group,3,,
zelt-rossen-1995-atlas,human,1995,,petroleum_surge,Zelt and Rossen — Brushy Canyon in deep-water atlas,Chapter documenting geometry and continuity of Brushy Canyon deep-water sandstones and siltstones along Guadalupe–Delaware Mountains outcrops.,F. B. Zelt;Christine Rossen,,"Zelt, F.B., and Rossen, C., 1995, Geometry and continuity of deep-water sandstones and siltstones, Brushy Canyon Formation (Permian) Delaware Mountains, Texas, in Pickering, K.T., and others, eds., Atlas of Deep Water Environments: Springer.",sedimentology;basin_fill,sedimentology,brushy_canyon,2,,
gardner-sonnenfeld-1996-pbs-sepm,human,1996,,slope_and_basin_consortium,Gardner and Sonnenfeld — Brushy facies architecture,PBS-SEPM / SEPM Permian Basin Section guidebook paper on stratigraphic changes in facies architecture of Brushy Canyon in Guadalupe Mountains National Park.,Michael H. Gardner;Mark D. Sonnenfeld,Colorado School of Mines,"Gardner, M.H., and Sonnenfeld, M.D., 1996, Stratigraphic changes in architecture of the Permian Brushy Canyon Formation in Guadalupe Mountains National Park, west Texas, in DeMis, W.D., and Cole, A.G., eds., The Brushy Canyon Play in Outcrop and Subsurface: Concepts and Examples: SEPM, Permian Basin Section, Guidebook, Publication 96-38, p. 17–40.",sedimentology;stratigraphy;basin_fill;park_science,sedimentology,brushy_canyon,3,,
gardner-1997-beg-ri241-bell-cherry,human,1997,,petroleum_surge,Gardner 1997a — Bell and Cherry Canyon deep-water reservoirs (BEG RI 241),BEG Report of Investigations 241 (SLERO / Texas State Lands) chapter characterizing deep-water siliciclastic reservoirs in upper Bell Canyon and Cherry Canyon of the northern Delaware Basin (Culberson and Reeves Counties). Companion piece to Gardner's DMG sequence-stratigraphy chapter in the same volume.,Michael H. Gardner,Bureau of Economic Geology,"Gardner, M.H., 1997, Characterization of deep-water siliciclastic reservoirs in the upper Bell Canyon and Cherry Canyon Formations of the northern Delaware Basin, Culberson and Reeves Counties, Texas, in Major, R.P., ed., Oil and gas on Texas State Lands: an assessment of the resource and characterization of type reservoirs: The University of Texas at Austin, Bureau of Economic Geology Report of Investigations No. 241, p. 137–146, https://doi.org/10.23867/RI0241D (https://store.beg.utexas.edu/publications/report-of-investigations/ri0241).",sedimentology;basin_fill;petroleum;stratigraphy,petroleum,bell_canyon;cherry_canyon;delaware_mountain_group;brushy_canyon,2,,
